Date,Americanas,Ibovespa,CVC,MAGALU,WEG
2021-07-19,61.91999816894531,119.73999786376953,24.790000915527344,23.1200008392334,34.18000030517578
2021-07-20,61.33000183105469,120.5999984741211,24.809999465942383,23.3700008392334,34.54999923706055
2021-07-21,57.849998474121094,121.12000274658203,24.889999389648438,23.360000610351562,34.45000076293945
2021-07-22,57.5,121.43000030517578,24.889999389648438,23.25,35.099998474121094
2021-07-23,55.97999954223633,120.19999694824219,24.239999771118164,22.600000381469727,34.79999923706055
2021-07-26,53.08000183105469,121.19999694824219,24.18000030517578,22.040000915527344,34.650001525878906
2021-07-27,51.869998931884766,119.76000213623047,22.920000076293945,21.450000762939453,34.38999938964844
2021-07-28,53.0,121.44999694824219,23.440000534057617,21.530000686645508,37.20000076293945
2021-07-29,51.88999938964844,120.7300033569336,22.989999771118164,21.719999313354492,36.130001068115234
2021-07-30,49.099998474121094,117.11000061035156,22.299999237060547,20.600000381469727,35.709999084472656
2021-08-02,51.27000045776367,117.5999984741211,21.850000381469727,20.6299991607666,36.650001525878906
2021-08-03,49.0,118.7300033569336,21.59000015258789,20.43000030517578,36.41999816894531
2021-08-04,47.790000915527344,116.95999908447266,20.940000534057617,19.959999084472656,36.06999969482422
2021-08-05,47.650001525878906,116.93000030517578,20.469999313354492,20.459999084472656,35.86000061035156
2021-08-06,46.5,118.23999786376953,20.56999969482422,20.68000030517578,36.2400016784668
2021-08-09,46.27000045776367,118.13999938964844,20.219999313354492,20.489999771118164,36.15999984741211
2021-08-10,45.150001525878906,117.56999969482422,19.81999969482422,20.399999618530273,36.09000015258789
2021-08-11,45.70000076293945,117.26000213623047,19.530000686645508,20.90999984741211,36.150001525878906
2021-08-12,46.83000183105469,115.87000274658203,19.350000381469727,20.969999313354492,35.5099983215332
2021-08-13,43.13999938964844,116.55999755859375,18.809999465942383,20.270000457763672,35.77000045776367
2021-08-16,41.02000045776367,114.62999725341797,17.200000762939453,19.420000076293945,34.40999984741211
2021-08-17,40.220001220703125,113.3499984741211,17.170000076293945,19.309999465942383,34.689998626708984
2021-08-18,39.93000030517578,112.05999755859375,17.700000762939453,18.84000015258789,33.58000183105469
2021-08-19,40.81999969482422,112.8499984741211,19.100000381469727,18.950000762939453,35.189998626708984
2021-08-20,40.939998626708984,113.6500015258789,19.829999923706055,18.860000610351562,35.97999954223633
2021-08-23,39.20000076293945,113.05000305175781,20.700000762939453,18.1299991607666,35.75
2021-08-24,43.0,115.62999725341797,22.020000457763672,19.239999771118164,35.65999984741211
2021-08-25,42.41999816894531,116.13999938964844,22.899999618530273,19.549999237060547,36.380001068115234
2021-08-26,43.22999954223633,114.06999969482422,22.190000534057617,18.799999237060547,36.77000045776367
2021-08-27,42.060001373291016,116.18000030517578,21.899999618530273,19.030000686645508,36.900001525878906
2021-08-30,43.189998626708984,115.08000183105469,22.06999969482422,18.8799991607666,36.68000030517578
2021-08-31,41.36000061035156,114.08000183105469,21.290000915527344,18.239999771118164,35.560001373291016
2021-09-01,43.060001373291016,114.80000305175781,21.020000457763672,18.68000030517578,36.290000915527344
2021-09-02,41.31999969482422,112.1500015258789,20.350000381469727,18.010000228881836,35.7400016784668
2021-09-03,41.880001068115234,112.08999633789062,20.049999237060547,18.899999618530273,36.25
2021-09-06,44.150001525878906,113.4800033569336,20.850000381469727,19.479999542236328,36.380001068115234
2021-09-08,40.11000061035156,109.08000183105469,19.56999969482422,18.790000915527344,36.4900016784668
2021-09-09,40.849998474121094,111.51000213623047,20.209999084472656,18.850000381469727,38.84000015258789
2021-09-10,39.5,109.87999725341797,20.31999969482422,17.18000030517578,38.65999984741211
2021-09-13,41.400001525878906,112.12000274658203,22.209999084472656,17.440000534057617,38.900001525878906
2021-09-14,41.22999954223633,111.69999694824219,21.559999465942383,17.030000686645508,39.380001068115234
2021-09-15,39.58000183105469,110.68000030517578,21.829999923706055,16.6200008392334,39.84000015258789
2021-09-16,37.7599983215332,109.44000244140625,21.350000381469727,16.3700008392334,39.900001525878906
2021-09-17,36.7599983215332,107.13999938964844,20.420000076293945,16.56999969482422,39.189998626708984
2021-09-20,35.459999084472656,104.7699966430664,20.600000381469727,16.049999237060547,38.88999938964844
2021-09-21,36.810001373291016,105.7699966430664,21.940000534057617,16.389999389648438,39.75
2021-09-22,36.459999084472656,107.98999786376953,21.989999771118164,16.34000015258789,40.56999969482422
2021-09-23,35.5,109.5999984741211,23.510000228881836,15.869999885559082,41.16999816894531
